username,full_name,biography,external_url,is_authentic,username_length,bio_length,full_name_len,has_anonymous_profile_picture,following_count,follower_count,is_private,media_count,following_tag_count,ext_url_present,fake
handlerrossf,,,,FALSE,12,0,0,0,6340,36,1,2,0,0,1
jeet_studios,Jeet Studios,Artist | Photographer | wedding photography| Fashion shoots. Toronto. DM for inquiries: jeetstudios👻.,http://www.jeetstudios.ca/,TRUE,12,101,12,0,383,1561,0,258,13,1,0
hjejendbdnsnshsb,hjejendbdnsnshsb,,,FALSE,16,0,16,1,555,13,0,0,0,0,1
_sakshipatel,UofT🍁,,,TRUE,12,0,5,0,451,211,1,16,5,0,0
argumentlein,,,,FALSE,12,0,0,0,6369,97,0,3,0,0,1
nidhiichokshii,Nidhi ♡,Waterloo pharmD | pt,,TRUE,14,20,7,0,642,667,1,37,0,0,0
skfjfndnskalskx,skfjfndnskalskx,,,FALSE,15,0,15,1,576,9,0,0,0,0,1
shelbychaves,ShelbyChaves,,,TRUE,12,0,12,0,344,261,1,199,0,0,0
instantustin,Dillan,,,FALSE,12,0,6,0,4746,71,0,2,0,0,1
ootlnxenderson,Kamren,,,FALSE,14,0,6,0,6364,96,0,3,0,0,1
jj.pw1851,JJ.PW,,,FALSE,9,0,5,0,207,2,0,1,0,0,1
choudhuryaditya,Aditya Choudhury,,,FALSE,15,0,16,0,7512,369,1,27,0,0,1
eilndaoody,,,,FALSE,10,0,0,0,5230,84,0,5,0,0,1
redgs3,Ajay Jankie,"🚘 static 2GS 
@clublexustoronto 
@gskingz_toronto 
@gskingz",,TRUE,6,59,11,0,515,464,0,55,0,0,0
v.v77_,,| Raptors 🔴⚪🔴| Leafs 🔵⚪🔵|YorkU|,,TRUE,6,31,0,0,410,423,1,10,0,0,0
heartlessqueens,HeartlessQueen,,,FALSE,15,0,14,1,507,24,1,0,0,0,1
elementsformal,ELEMENTS FORMAL,"Fri Feb 26th 2016 | GANGIS KHAN | DEEP JANDU | AK aKa AMAZING| ☆Indian Attire☆
$40- Single ticket ~ $35 - Group of 4+",http://www.universe.com/elements,FALSE,14,117,15,0,2535,281,0,45,0,1,1
pradeepsomatre,pradeep somatre,,,FALSE,14,0,15,0,419,39,0,1,0,0,1
ushmadesai23,Ushma Desai,,,TRUE,12,0,11,0,36,18,1,3,0,0,0
evenomervlile,,,,FALSE,13,0,0,0,6420,91,0,3,0,0,1
its_the_stig,T,.,,FALSE,12,1,1,0,472,202,1,8,0,0,1
umairshaikh,Umair Shaikh 📸,"📍Toronto
Portraits & Stuff 
dm for rates and inquires
❌CCB",http://www.umairshaikh.com/,TRUE,11,58,14,0,1509,5560,0,382,0,1,0
20deepz,Deep Patel,,,TRUE,7,0,10,0,578,603,1,3,0,0,0
igpatel,Ishan Patel,Toronto,,TRUE,7,7,11,0,301,199,1,13,0,0,0
sherryhenna,Sherry Henna🐘,"Canada, Ontario, GTA
100% Organic Natural Henna 🌱
🛇NO DM INQUIRES
●EMAIL ONLY●
👇check out the site below👇",http://www.sherryhenna.com/,TRUE,11,105,13,0,856,313,0,160,0,1,0
thinesh_24,Thinesh_24,,,TRUE,10,0,10,0,787,723,1,41,0,0,0
gharehbayatian123654789,mehdi gharehbayatian,,,FALSE,23,0,20,1,208,34,0,1,0,0,1
ptlrohan,Rohan Patel,,,TRUE,8,0,11,0,537,410,1,4,4,0,0
aulzrown,,,,FALSE,8,0,0,0,6394,89,0,7,0,0,1
